14:23:55, Name_screen: Man, Textboxname: Go_Home_Vel, value_old: 20, value_new: 2
14:24:11, Name_screen: Man, Textboxname: Go_Home_Vel, value_old: 2, value_new: 21
14:39:16, Name_screen: Man, Textboxname: Go_Home_Vel, value_old: 21, value_new: 123123456
14:41:05, Name_screen: Man, Textboxname: Go_Home_Vel, value_old: 123123456, value_new: 12
14:41:34, Name_screen: Man, Textboxname: Go_Home_Vel, value_old: 12, value_new: 3
14:41:39, Name_screen: Man, Textboxname: Jog_Distance_ABS, value_old: 10, value_new: 11
14:41:43, Name_screen: Man, Textboxname: Jog_Vel, value_old: 10, value_new: 12
14:41:46, Name_screen: Man, Textboxname: Jog_Distance_ABS, value_old: 11, value_new: 8
14:41:50, Name_screen: Man, Textboxname: Go_Home_Vel, value_old: 3, value_new: 5
14:42:13, Name_screen: Man, Textboxname: Jog_Distance_ABS, value_old: 8, value_new: 09
14:42:33, Name_screen: Man, Textboxname: Go_Home_Vel, value_old: 5, value_new: 8
14:42:38, Name_screen: Man, Textboxname: Jog_Distance_ABS, value_old: 9, value_new: 10
14:43:01, Name_screen: Man, Textboxname: Jog_Vel, value_old: 12, value_new: 11
14:43:34, Name_screen: Man, Textboxname: Go_Home_Vel, value_old: 8, value_new: 10
14:43:41, Name_screen: Man, Textboxname: Jog_Max_Force, value_old: 33000, value_new: 3000
